Date,Location,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainTomorrow
17/03/13,CoffsHarbour,18.9,27.3,0,4.4,7.6,S,65,S,S,15,44,67,63,1008.9,1010.8,0,6,24.9,23.8,No
25/05/09,Cairns,15.1,28.5,0,4.8,10.2,ESE,33,W,ESE,6,22,66,55,1015.8,1013.1,4,4,22.5,27.6,Yes
24/06/11,MountGambier,9,14.7,1,0.6,1.7,NNW,37,NNW,NNW,19,20,92,96,1025,1024.5,3,7,13.1,13.3,Yes
19/11/13,NorfolkIsland,19.2,22.2,6.8,4,0.3,ENE,52,E,NNE,35,17,94,93,1012.4,1008.8,8,8,19.7,19.3,Yes
27/01/17,Darwin,25.7,31.5,0,4.8,4,SSW,26,NE,NNW,4,9,79,87,1009.1,1007,5,7,29,27.3,Yes
3/9/2011,Brisbane,11.8,22.1,0,5.6,9.2,SE,30,SSW,ESE,6,11,58,40,1029.2,1026,3,6,18.3,21.4,No
17/11/14,MountGambier,10.8,19,2.4,4.6,9.2,W,43,WSW,WSW,22,24,59,37,1017,1017.3,7,6,14.2,18.1,No
13/03/13,Darwin,24.1,33.2,31.8,4.2,9.6,ESE,57,WSW,W,19,26,77,60,1007.9,1005.2,1,2,30.2,32.9,Yes
20/05/13,Sale,3.8,18,0.4,1.8,2.3,W,31,WNW,WSW,9,17,91,83,1016.4,1013.3,4,8,8.1,13.7,Yes
8/2/2015,MountGambier,15.9,23.5,0,10.2,6.9,S,54,S,S,24,28,66,46,1022.5,1023.7,7,3,17.3,22,No
9/8/2011,Woomera,5.5,19.8,0,3.2,10.1,SW,41,N,NNW,11,20,77,31,1016.3,1011.1,0,2,11.1,18.6,No
9/12/2013,AliceSprings,24.3,39.9,0,13.8,9.1,SW,61,SSW,SW,22,20,30,18,1008.4,1004.9,3,6,31.7,37.8,No
11/12/2008,MountGambier,6.2,25.8,0,5,10.8,ESE,35,ESE,E,26,15,56,25,1014.8,1010.3,1,1,14.7,24.7,No
7/6/2011,Mildura,8.1,15.8,1.4,2.4,5.4,SW,50,WNW,W,11,24,88,51,1020.9,1018.4,7,7,9.3,14.8,No
16/10/14,Perth,16.2,27.8,0,9.6,11,W,39,NNW,WNW,7,19,46,54,1009,1009.8,1,1,24,23.5,No
9/11/2013,MountGambier,6.7,15.8,3.6,1.8,3.6,SW,44,S,SSW,20,30,74,56,1019.9,1021.1,7,7,11,13.4,No
29/11/09,Woomera,12.7,22.7,0.2,10,9.7,SW,54,SW,SW,28,28,68,35,1014.6,1013.6,8,3,14.8,20.7,No
26/08/13,WaggaWagga,8.4,17.6,0,2.2,5.6,WNW,48,N,SW,7,15,63,55,1025.7,1023.5,6,7,13.4,15.7,No
8/8/2009,Hobart,6.8,15.2,0.6,0.6,2.7,NNW,44,NNW,NW,19,19,60,57,1012.7,1010.9,7,7,11.4,13.6,Yes
11/3/2010,Portland,11.6,17.8,0.8,3.2,2.3,SE,37,SE,SE,9,15,79,47,1035.7,1035.7,8,7,14.3,17.3,No
1/12/2010,MelbourneAirport,14.7,24.3,0.2,5.4,0.6,NE,41,W,SSE,11,11,91,54,1016.2,1013.5,7,7,16.9,23.7,Yes
21/12/11,Darwin,25.3,33.6,5,1.6,7.6,E,35,SSE,NE,17,13,85,58,1005.3,1001.6,7,7,28.1,33.3,Yes
9/6/2010,AliceSprings,6.3,18.5,0,3,5.1,SSE,41,WSW,SE,6,26,56,39,1024.7,1022.2,5,8,10.8,16.8,No
27/03/15,Portland,9.9,16.2,15,1.2,4.7,SW,39,SW,SSW,17,15,74,73,1025.6,1025.5,8,8,12.1,15.4,Yes
22/09/10,PerthAirport,4.4,26.5,0,7,11.2,E,31,ENE,ENE,19,15,31,15,1029,1025.1,1,0,17.8,26,No
17/12/13,Watsonia,12.7,23.5,0,5.8,9.5,SSW,35,SSE,SW,6,19,93,54,1021.9,1020.4,7,2,14.4,22.5,No
6/5/2009,NorfolkIsland,15.9,20.1,0,4.4,8.6,SSW,46,WSW,S,17,22,64,68,1020.2,1017.9,6,5,19.2,18.3,Yes
24/04/10,Hobart,13,19.6,1.2,1.2,6.8,WNW,76,NE,NW,13,41,86,42,996.7,994.2,6,4,14.7,16.1,No
29/06/14,AliceSprings,0.2,16.2,0,3.8,10.4,SSE,43,S,S,13,15,52,32,1025.5,1023.1,1,1,8.4,15.4,No
5/4/2016,MelbourneAirport,10.5,29.2,0,6.6,7.3,N,61,NNE,NNW,26,24,30,14,1013.4,1009.6,7,7,21.4,28.1,Yes
17/02/10,SydneyAirport,18.6,24,0,7.8,12.8,SSW,39,SW,SSE,11,28,66,65,1016.7,1016,4,1,20.9,23.6,No
25/01/09,Sale,6.6,25,0,9,12.6,ESE,37,NNW,E,7,26,65,48,1018.2,1017.4,0,0,15.1,23,No
25/01/12,Sale,11.5,30.6,0,8,12.4,SSE,44,NE,ESE,6,24,70,41,1013.9,1011.7,1,2,21.4,29.2,No
19/08/11,Cairns,13.5,26.9,0,5.4,11,SSE,39,S,SE,19,24,41,24,1019,1015.3,3,5,21.6,25.4,No
14/09/16,PerthAirport,7.6,19.3,0,5,11,ENE,37,ENE,NNW,26,11,55,34,1027.4,1022.7,0,2,12.8,18.5,No
1/7/2010,PerthAirport,3.8,17.2,0,2.2,9.1,NNE,30,ENE,NNE,15,7,79,38,1030.8,1026.7,1,6,9.8,16.9,No
10/1/2012,Cairns,22.8,30.7,0,5.2,12,N,30,N,N,13,17,69,67,1009.5,1006.9,3,1,29.1,29.7,No
17/07/08,Melbourne,7.5,13.6,0,1.8,1,N,59,N,N,35,30,70,47,1013.5,1009.2,7,7,11.4,13.4,No
4/1/2011,Watsonia,9.1,22.2,0,5.6,12,SSW,30,NNW,SW,6,19,71,52,1014,1010.9,4,3,14.1,21.3,No
4/5/2015,SydneyAirport,17.9,20.9,0.4,1.8,0.3,SSW,39,SW,S,24,17,78,79,1015.9,1013.2,7,6,18.9,19.9,No
7/1/2011,Watsonia,17.4,33,0,9.2,8.7,NNE,46,N,N,15,20,48,36,1009.1,1008.4,7,7,26.3,32.2,No
24/09/11,Sale,2.2,14.6,0,3.2,8,SE,35,WNW,S,9,24,62,48,1024.1,1022.1,4,3,11.1,12.8,Yes
22/11/16,PerthAirport,12.6,28.9,0,7.4,13.2,E,57,E,SW,24,31,29,25,1019.6,1015.6,0,0,21.6,27.5,No
24/09/14,NorfolkIsland,13.8,18.4,0.2,4.2,6,SSE,31,SE,SE,13,20,62,57,1026.5,1023.8,7,6,16.7,17.3,No
27/12/09,Watsonia,10.6,24.7,0,6.8,4.5,WSW,35,E,SW,7,15,78,58,1018.6,1016.4,7,7,16.7,23.7,No
2/6/2011,AliceSprings,0.6,23,0,3.2,10.2,NNE,24,WNW,ENE,6,9,44,20,1023.6,1019.3,0,0,10.5,22.6,No
19/09/13,WaggaWagga,6.2,15.3,0,3.4,8.6,W,35,W,WNW,17,24,78,47,1009.8,1007.6,6,4,9.3,14.4,No
30/09/14,SydneyAirport,15.7,34.2,0,8,6.8,NW,61,NNW,NNW,17,33,39,11,1013.4,1006.5,4,5,25.3,33.4,No
24/01/12,Portland,16.5,32.9,0,12,13.3,S,37,NNW,SSW,13,20,37,29,1013.9,1013.2,1,0,26.6,30,No
16/09/09,Townsville,19.1,28.7,0,10.4,10.5,E,41,ESE,ENE,26,28,51,46,1019.7,1016.3,2,1,24.4,27.3,Yes
27/08/09,Darwin,22.6,33.5,0,6.2,10.6,NE,39,ENE,NNE,11,22,66,45,1014.1,1010,2,3,27,31.7,No
2/6/2009,AliceSprings,8.6,12.6,0.4,0.4,0,ESE,20,SE,E,7,9,90,71,1023.9,1021.5,8,7,9.2,12.2,No
31/03/17,Melbourne,10.1,17.9,2.8,5,6.7,S,26,WSW,SSW,7,11,70,47,1022.4,1020.2,4,4,12.9,17,No
12/1/2010,CoffsHarbour,19.1,28.1,0,5,12.5,NNE,50,ENE,NE,15,31,70,65,1015.2,1012.6,1,1,26.7,27,No
18/06/14,Hobart,8.7,15.1,0.2,1.6,2.1,NW,43,WNW,NNW,11,13,71,49,1025.4,1024.8,3,6,12.7,14.6,No
21/02/15,PerthAirport,15.7,28.4,0,8.2,12.1,SW,43,S,SW,13,26,56,40,1014.6,1011.3,1,0,21.8,27.1,No
6/9/2012,WaggaWagga,4.8,18.5,0.2,5.6,6.9,NNW,39,NNW,NNW,15,19,59,42,1011.4,1008.8,5,5,13.2,18.4,No
18/11/11,WaggaWagga,16.6,33.5,0,5.6,12.6,NNE,26,ENE,W,11,11,64,26,1017.5,1013,1,6,23.1,32.2,No
1/3/2013,Sydney,16.5,20.1,31.8,6.8,0,SSE,63,SE,SSE,26,26,86,85,1014.4,1016.2,8,8,19.5,18.7,Yes
7/6/2011,Sale,-1.1,13.2,0.2,1.8,1.9,W,63,N,W,19,26,60,86,1012.1,1010.9,6,7,8.3,6.9,Yes
16/09/13,AliceSprings,12.9,27.5,0,16,11.4,S,39,S,SSW,24,20,15,12,1015,1011.8,0,0,21.1,25.6,No
8/6/2011,AliceSprings,12.1,13.1,0.6,1.8,0,ESE,35,E,ESE,17,13,87,94,1021.1,1018.4,8,8,12.5,12.8,Yes
7/8/2010,MountGambier,2.8,13.2,0,0.8,6.1,N,43,NNE,N,15,31,88,61,1023.1,1018.8,7,7,7.2,12.2,No
19/06/10,MountGambier,7.1,15.1,5,0.6,3.5,WNW,39,NNW,WNW,9,20,93,85,1019.7,1019.5,5,6,9.5,14.2,Yes
6/11/2014,PerthAirport,10.7,22.4,0,8,5.5,WSW,52,WNW,NW,6,30,59,53,1012.1,1008.1,8,7,18.1,20,Yes
25/09/14,Mildura,12.7,18.2,11.2,2,1,WSW,31,SSW,WSW,15,19,86,57,1020.5,1019.3,8,7,12.9,17.6,No
19/11/16,Darwin,23.9,33.4,11.4,3.6,9.4,WNW,26,N,NNW,6,13,69,61,1009.4,1006.8,3,5,30.6,32.2,Yes
26/01/11,Cairns,20.7,33.4,0,6.8,11.9,SE,46,SE,ESE,15,35,56,39,1010.7,1008.5,1,1,28.2,32.7,No
22/04/15,Nuriootpa,6.8,18.5,0,3.5,9.6,SE,24,SE,SE,9,11,67,46,1026.5,1022.3,1,4,12.7,17.9,No
28/09/14,AliceSprings,11.9,34.8,0,9,11.6,N,37,N,SSE,19,9,12,8,1017.6,1012.2,0,0,26.3,33.5,No
28/08/10,Portland,6,12.9,3,1.4,6.3,W,31,WSW,WSW,7,19,97,78,1024.9,1025.8,5,3,10.3,12.5,No
10/12/2016,Brisbane,21.6,27.7,1.4,4,7,ESE,39,ESE,E,17,19,54,56,1020.5,1019.2,7,7,24.7,25.1,No
11/2/2014,NorfolkIsland,19.5,23.7,0,5.4,7.6,SSE,35,SSE,SE,20,22,69,68,1012.1,1011.4,4,7,22.1,23.3,No
9/10/2009,CoffsHarbour,13.2,21.4,0,8.4,11,S,59,SW,S,31,31,45,47,1022.4,1020.7,1,1,16.8,20.6,No
1/9/2015,Nuriootpa,3.6,18.1,0,3,0.8,NNE,37,NNE,N,7,17,51,44,1014.3,1010.2,7,7,14.1,16.5,Yes
3/11/2014,Moree,9.1,31.2,0,11.2,12.5,NE,48,ENE,N,20,6,47,15,1021.3,1016.9,2,1,20.8,29.6,No
15/03/09,AliceSprings,23.9,32.8,0,16,11.4,ESE,43,SE,ESE,24,22,30,17,1015.8,1012,2,0,26.2,31.5,No
14/07/09,Nuriootpa,5.6,10.1,9,2.6,1.7,NW,46,NW,SSW,22,19,91,82,1004.5,1002.6,8,7,8,9.5,Yes
25/11/09,Cobar,19.4,36.7,0,6.4,12,E,54,NE,NE,26,19,44,22,1017.4,1013,1,6,27.5,34.8,No
14/06/11,Darwin,12.7,25,0,7.2,11.2,ESE,48,SE,ESE,30,9,43,35,1018.7,1014.6,5,6,16.7,23.9,No
7/10/2012,Sale,4.7,15.5,7,1.2,7.5,W,46,W,WSW,24,30,79,55,1019.1,1017.8,8,8,10.2,13.8,No
9/8/2012,MelbourneAirport,5.3,10.6,3.6,0.8,5.3,SSW,78,WSW,SSW,30,30,70,77,1018.4,1019.4,4,4,8.5,9.5,Yes
27/06/11,MelbourneAirport,5.8,16.1,0,1.4,5.5,NNW,28,N,SSW,11,15,75,57,1030.1,1029.5,2,4,9.7,14.3,No
12/6/2016,MelbourneAirport,4.1,13.4,0.4,2,4.5,N,26,NNW,WSW,11,11,67,48,1037.2,1036,7,4,8.7,12.6,No
7/3/2011,Watsonia,13.2,29.1,0,7.2,11.6,N,37,NNE,NNE,11,17,55,36,1020.8,1016.5,0,1,20.1,28.3,No
6/6/2010,Mildura,4.3,14.6,0.4,1.6,7.7,S,33,SSW,S,13,19,93,55,1026.3,1025.9,1,4,6.8,13.8,No
23/12/10,Darwin,24.9,30.8,6.2,3.6,3.6,NNE,61,E,NE,15,9,80,79,1004.8,1003.8,6,8,28,28.3,Yes
4/7/2013,Mildura,6,19.4,0,3,5.5,WSW,72,N,N,19,24,64,30,1013.2,1007.7,1,7,9.9,19.2,No
29/01/10,Perth,20.3,38.5,0,13.4,13,WSW,43,E,SW,19,24,38,26,1010.1,1006.2,1,1,27.6,36.2,No
10/2/2014,MountGambier,7.1,26.8,0,8.4,12.4,SSE,39,SE,SSE,19,24,60,35,1021.5,1018.4,1,0,17.5,26.2,No
6/12/2015,Moree,18,35.2,0,31.4,13.5,NE,37,NNE,N,24,13,52,22,1018.6,1014.2,1,2,23.7,32.8,No
16/10/10,Perth,11.1,27.3,0,7.8,11.9,SW,33,ENE,SE,15,11,38,16,1023.9,1019.2,0,0,18.9,26.1,No
25/09/09,Brisbane,10.1,28.4,0,10.6,11.2,NNE,30,SW,NE,7,13,31,29,1017.8,1012.7,0,0,22.2,25.9,No
6/6/2012,Nuriootpa,3.9,12.2,0,2.8,8,SE,31,SE,SE,13,19,74,55,1026,1025,1,6,8.3,10.7,No
21/05/15,Townsville,21.1,29.2,0,4.8,9.5,ENE,30,SE,ENE,13,26,69,66,1018.8,1014.5,3,3,26.4,27.7,No
1/9/2013,Mildura,11.7,29.9,0,7,10.8,N,39,N,N,30,15,43,18,1023.7,1021.5,2,3,20,29.3,No
20/03/14,Townsville,25.9,30.2,0,9,0,E,52,SSE,SE,22,24,63,93,1013.6,1010.4,7,7,27.6,24.9,Yes
14/09/11,Nuriootpa,6.6,17,0,3.4,8.2,SW,39,WSW,WSW,17,24,86,57,1024.4,1023.4,8,6,12.9,16,No
26/06/12,Mildura,6.1,15.2,0,1.6,8.1,SE,26,SE,SSE,13,15,100,46,1032.2,1029.4,8,6,7.9,14.7,No
25/02/16,SydneyAirport,22.5,37.8,0,8.4,12.2,NNE,48,N,NE,13,20,64,36,1012.3,1008.8,0,0,26.7,36.3,No
21/01/11,MountGambier,16.4,22.4,0,8.8,9.8,SSE,48,S,S,31,33,83,58,1011.3,1013.6,8,3,17.6,21.2,No
26/09/08,Brisbane,11.6,23.8,0,7.2,11.3,E,30,S,ESE,9,13,48,47,1025.8,1021.5,1,2,19.8,23,No
22/02/14,Mildura,11.3,27.6,0,8,12.3,S,43,S,S,15,22,59,30,1024.2,1021,2,0,14.5,24,No
20/06/10,Melbourne,12,14.7,0.6,1.6,1.2,W,33,W,SSE,20,17,89,73,1025.3,1026.6,7,6,12.9,14.2,Yes
7/10/2014,Nuriootpa,8.9,17,1.4,5.8,8.6,SW,41,WSW,WSW,19,24,84,37,1018.2,1019.3,8,3,10.8,16.1,No
25/02/12,Perth,15,25.1,0,8.4,9.8,SSW,43,SSE,SW,13,17,55,49,1010.6,1009,7,5,20.7,23.4,No
8/1/2012,Sale,17.3,26.1,0.4,4.4,1.2,WSW,43,ENE,WSW,9,15,84,86,1000.2,999.4,8,7,21,21.5,Yes
18/04/09,Perth,15.5,25.5,0,5.2,1.8,ENE,30,SSE,NNE,9,6,51,64,1014.8,1012.8,7,7,21.5,23.3,No
11/11/2009,Darwin,23.4,34.9,21,6,9.9,E,50,ESE,NNE,13,22,79,44,1010.4,1006.3,1,1,28.8,33.9,Yes
30/04/09,Cairns,21.3,30.3,0,7,10.5,SE,46,SSE,ESE,19,28,61,54,1014.6,1012.3,7,6,26.6,28.9,No
19/11/10,Sale,4.9,18.8,0.6,4.2,11.8,ESE,39,WSW,SE,9,17,54,42,1026,1024.9,2,3,13.2,17.9,No
11/8/2009,Hobart,7.2,10,0.6,0.6,0,SE,39,SSE,SE,15,22,84,84,1022.3,1020.6,8,8,9,9.5,Yes
30/04/12,PerthAirport,16.7,23.3,7.6,2.4,9.4,SSW,37,S,SW,17,20,84,43,1017.4,1017.1,3,2,18.4,23.3,No
25/06/14,Melbourne,8.6,16,6.2,3.6,3.4,WNW,54,W,W,19,22,73,64,1011.8,1012.6,7,7,11.2,14.6,No
11/11/2009,Portland,13.4,29.1,0,8,13,SW,24,E,SW,6,13,82,43,1021.1,1020.4,2,3,21.1,28,No
23/05/12,Perth,9.6,21.1,0,2.4,9.4,ESE,31,E,SE,9,9,68,31,1034,1031.7,0,0,13.4,20.7,No
10/10/2011,Brisbane,14.8,25.8,0,5.4,5.1,W,19,SW,SW,6,6,67,39,1012,1008.4,7,4,18.5,25.1,No
2/8/2013,Mildura,4.2,18.6,0,2.4,6,WNW,54,NNW,W,17,28,54,47,1016.4,1015.5,7,5,10.2,16.4,No
16/01/09,Moree,21.1,40.1,0,12.8,12.9,WSW,48,N,NW,22,17,32,15,1011.5,1007.6,2,3,28.1,38.2,No
6/3/2012,Portland,8.9,19.9,0.4,2.4,6.6,SSE,43,SSW,SSE,15,24,83,72,1023.9,1025.6,8,7,15.3,17.5,No
4/8/2011,Melbourne,15.5,21,0,7.6,4.2,N,57,NNE,NNE,24,9,31,39,1016.5,1017.1,7,7,19.4,20.4,No
6/6/2016,Melbourne,8.9,14.5,1.4,1.6,6.1,N,39,N,N,17,19,81,70,1001.9,1000.7,3,5,10.8,13.5,No
9/2/2017,Mildura,28.8,46.3,0,15,12,N,54,N,NW,28,19,28,13,1009.9,1006.9,2,1,36.1,44.8,No
22/08/10,Williamtown,6.2,17.7,0,6.2,7.9,W,37,WNW,SE,30,15,54,43,1024.1,1021,1,6,12.7,15.6,Yes
26/05/14,WaggaWagga,9.5,24,0.2,1.2,7.3,ENE,26,E,E,13,19,82,47,1023.1,1019.1,5,5,14.6,23.5,No
9/12/2010,Woomera,17,27.9,0,10.4,13.3,SW,52,SSW,WSW,13,28,56,27,1013.1,1011.8,1,1,20.2,27.3,No
17/10/14,MountGambier,3.8,20.3,0,3,11.8,E,31,NE,NNE,19,15,71,40,1027,1023.4,0,2,12,18.8,No
